VL API permissions
0.50-0.53, 12
0.53-0.56, 39
0.56-0.59, 60
0.59-0.62, 89
0.62-0.65, 116
0.65-0.68, 138
0.68-0.71, 168
0.71-0.74, 169
0.74-0.77, 224
0.77-0.80, 234
0.80-0.83, 245
0.83-0.86, 258
0.86-0.89, 284
0.89-0.92, 360
0.92-0.95, 353
0.95-0.98, 402
0.98-1.01, 408
1.01-1.04, 389
1.04-1.07, 391
1.07-1.10, 352
1.10-1.13, 305
1.13-1.16, 343
1.16-1.19, 345
1.19-1.22, 297
1.22-1.25, 294
1.25-1.28, 301
1.28-1.31, 256
1.31-1.34, 281
1.34-1.37, 245
1.37-1.40, 257
1.40-1.43, 220
1.43-1.46, 230
1.46-1.49, 190
1.49-1.52, 189
1.52-1.55, 203
1.55-1.58, 186
1.58-1.61, 166
1.61-1.64, 150
1.64-1.67, 119
1.67-1.70, 133
1.70-1.73, 118
1.73-1.76, 101
1.76-1.79, 76
1.79-1.82, 78
1.82-1.85, 71
1.85-1.88, 62
1.88-1.91, 40
1.91-1.94, 27
1.94-1.97, 24
1.97-2.00, 2

Internal API
1.50-1.59, 13
1.59-1.68, 35
1.68-1.77, 53
1.77-1.86, 84
1.86-1.95, 113
1.95-2.04, 122
2.04-2.13, 156
2.13-2.22, 176
2.22-2.31, 196
2.31-2.40, 221
2.40-2.49, 278
2.49-2.58, 248
2.58-2.67, 314
2.67-2.76, 310
2.76-2.85, 313
2.85-2.94, 367
2.94-3.03, 358
3.03-3.12, 402
3.12-3.21, 387
3.21-3.30, 368
3.30-3.39, 362
3.39-3.48, 308
3.48-3.57, 361
3.57-3.66, 301
3.66-3.75, 323
3.75-3.84, 296
3.84-3.93, 302
3.93-4.02, 289
4.02-4.11, 275
4.11-4.20, 253
4.20-4.29, 242
4.29-4.38, 224
4.38-4.47, 186
4.47-4.56, 201
4.56-4.65, 168
4.65-4.74, 171
4.74-4.83, 152
4.83-4.92, 184
4.92-5.01, 156
5.01-5.10, 136
5.10-5.19, 120
5.19-5.28, 117
5.28-5.37, 90
5.37-5.46, 72
5.46-5.55, 60
5.55-5.64, 49
5.64-5.73, 33
5.73-5.82, 32
5.82-5.91, 17
5.91-6.00, 6

Cost parameter
0.50-0.51, 10
0.51-0.52, 26
0.52-0.53, 46
0.53-0.54, 58
0.54-0.55, 65
0.55-0.56, 101
0.56-0.57, 106
0.57-0.58, 119
0.58-0.59, 132
0.59-0.60, 170
0.60-0.61, 165
0.61-0.62, 175
0.62-0.63, 189
0.63-0.64, 218
0.64-0.65, 246
0.65-0.66, 274
0.66-0.67, 273
0.67-0.68, 272
0.68-0.69, 283
0.69-0.70, 331
0.70-0.71, 349
0.71-0.72, 358
0.72-0.73, 349
0.73-0.74, 364
0.74-0.75, 386
0.75-0.76, 396
0.76-0.77, 359
0.77-0.78, 352
0.78-0.79, 327
0.79-0.80, 317
0.80-0.81, 316
0.81-0.82, 279
0.82-0.83, 302
0.83-0.84, 278
0.84-0.85, 228
0.85-0.86, 238
0.86-0.87, 214
0.87-0.88, 184
0.88-0.89, 161
0.89-0.90, 144
0.90-0.91, 145
0.91-0.92, 138
0.92-0.93, 125
0.93-0.94, 120
0.94-0.95, 100
0.95-0.96, 70
0.96-0.97, 56
0.97-0.98, 52
0.98-0.99, 25
0.99-1.00, 9

Failed cost
0.50-0.53, 31
0.53-0.56, 69
0.56-0.59, 122
0.59-0.62, 154
0.62-0.65, 225
0.65-0.68, 249
0.68-0.71, 311
0.71-0.74, 368
0.74-0.77, 400
0.77-0.80, 404
0.80-0.83, 382
0.83-0.86, 375
0.86-0.89, 346
0.89-0.92, 336
0.92-0.95, 330
0.95-0.98, 328
0.98-1.01, 309
1.01-1.04, 291
1.04-1.07, 299
1.07-1.10, 297
1.10-1.13, 273
1.13-1.16, 292
1.16-1.19, 260
1.19-1.22, 257
1.22-1.25, 270
1.25-1.28, 228
1.28-1.31, 216
1.31-1.34, 237
1.34-1.37, 221
1.37-1.40, 202
1.40-1.43, 200
1.43-1.46, 168
1.46-1.49, 195
1.49-1.52, 169
1.52-1.55, 125
1.55-1.58, 155
1.58-1.61, 106
1.61-1.64, 118
1.64-1.67, 103
1.67-1.70, 103
1.70-1.73, 90
1.73-1.76, 89
1.76-1.79, 76
1.79-1.82, 52
1.82-1.85, 46
1.85-1.88, 49
1.88-1.91, 33
1.91-1.94, 17
1.94-1.97, 19
1.97-2.00, 5

Implement endpoint
0.50-0.57, 33
0.57-0.64, 92
0.64-0.71, 114
0.71-0.78, 213
0.78-0.85, 227
0.85-0.92, 287
0.92-0.99, 384
0.99-1.06, 408
1.06-1.13, 412
1.13-1.20, 408
1.20-1.27, 375
1.27-1.34, 358
1.34-1.41, 368
1.41-1.48, 346
1.48-1.55, 326
1.55-1.62, 330
1.62-1.69, 316
1.69-1.76, 305
1.76-1.83, 307
1.83-1.90, 289
1.90-1.97, 264
1.97-2.04, 269
2.04-2.11, 248
2.11-2.18, 229
2.18-2.25, 242
2.25-2.32, 233
2.32-2.39, 225
2.39-2.46, 202
2.46-2.53, 209
2.53-2.60, 173
2.60-2.67, 176
2.67-2.74, 154
2.74-2.81, 153
2.81-2.88, 147
2.88-2.95, 130
2.95-3.02, 119
3.02-3.09, 129
3.09-3.16, 104
3.16-3.23, 115
3.23-3.30, 107
3.30-3.37, 77
3.37-3.44, 81
3.44-3.51, 79
3.51-3.58, 70
3.58-3.65, 60
3.65-3.72, 31
3.72-3.79, 40
3.79-3.86, 17
3.86-3.93, 17
3.93-4.00, 2

Update docs
0.50-0.52, 8
0.52-0.54, 19
0.54-0.56, 53
0.56-0.58, 53
0.58-0.60, 77
0.60-0.62, 93
0.62-0.64, 95
0.64-0.66, 134
0.66-0.68, 157
0.68-0.70, 161
0.70-0.72, 166
0.72-0.74, 196
0.74-0.76, 174
0.76-0.78, 218
0.78-0.80, 230
0.80-0.82, 255
0.82-0.84, 267
0.84-0.86, 288
0.86-0.88, 294
0.88-0.90, 321
0.90-0.92, 353
0.92-0.94, 337
0.94-0.96, 365
0.96-0.98, 397
0.98-1.00, 398
1.00-1.02, 351
1.02-1.04, 364
1.04-1.06, 330
1.06-1.08, 316
1.08-1.10, 345
1.10-1.12, 284
1.12-1.14, 295
1.14-1.16, 282
1.16-1.18, 267
1.18-1.20, 264
1.20-1.22, 230
1.22-1.24, 200
1.24-1.26, 182
1.26-1.28, 200
1.28-1.30, 196
1.30-1.32, 175
1.32-1.34, 125
1.34-1.36, 107
1.36-1.38, 98
1.38-1.40, 98
1.40-1.42, 58
1.42-1.44, 59
1.44-1.46, 37
1.46-1.48, 25
1.48-1.50, 3

Test and deploy
2.00-2.08, 17
2.08-2.16, 62
2.16-2.24, 66
2.24-2.32, 111
2.32-2.40, 130
2.40-2.48, 169
2.48-2.56, 196
2.56-2.64, 256
2.64-2.72, 277
2.72-2.80, 296
2.80-2.88, 320
2.88-2.96, 373
2.96-3.04, 385
3.04-3.12, 400
3.12-3.20, 369
3.20-3.28, 411
3.28-3.36, 370
3.36-3.44, 343
3.44-3.52, 338
3.52-3.60, 347
3.60-3.68, 277
3.68-3.76, 283
3.76-3.84, 305
3.84-3.92, 257
3.92-4.00, 268
4.00-4.08, 262
4.08-4.16, 252
4.16-4.24, 238
4.24-4.32, 254
4.32-4.40, 221
4.40-4.48, 195
4.48-4.56, 201
4.56-4.64, 198
4.64-4.72, 175
4.72-4.80, 166
4.80-4.88, 150
4.88-4.96, 156
4.96-5.04, 120
5.04-5.12, 128
5.12-5.20, 116
5.20-5.28, 96
5.28-5.36, 99
5.36-5.44, 74
5.44-5.52, 76
5.52-5.60, 55
5.60-5.68, 39
5.68-5.76, 42
5.76-5.84, 36
5.84-5.92, 22
5.92-6.00, 3

Total
0.00-0.38, 0
0.38-0.77, 0
0.77-1.15, 0
1.15-1.53, 0
1.53-1.91, 0
1.91-2.30, 0
2.30-2.68, 0
2.68-3.06, 0
3.06-3.45, 0
3.45-3.83, 0
3.83-4.21, 0
4.21-4.59, 0
4.59-4.98, 0
4.98-5.36, 0
5.36-5.74, 0
5.74-6.13, 0
6.13-6.51, 0
6.51-6.89, 0
6.89-7.27, 0
7.27-7.66, 0
7.66-8.04, 0
8.04-8.42, 1
8.42-8.81, 7
8.81-9.19, 21
9.19-9.57, 56
9.57-9.95, 88
9.95-10.34, 173
10.34-10.72, 284
10.72-11.10, 437
11.10-11.49, 649
11.49-11.87, 716
11.87-12.25, 803
12.25-12.63, 989
12.63-13.02, 941
13.02-13.40, 945
13.40-13.78, 863
13.78-14.17, 755
14.17-14.55, 644
14.55-14.93, 507
14.93-15.31, 396
15.31-15.70, 264
15.70-16.08, 169
16.08-16.46, 115
16.46-16.85, 78
16.85-17.23, 49
17.23-17.61, 28
17.61-17.99, 10
17.99-18.38, 7
18.38-18.76, 2
18.76-19.14, 3

